Round,Table,Players,Decks,Winner
Round 3,78,"Sotaro Wada
Taro Takahashi","Izzet Prowess
Sultai Control",Taro Takahashi won 2-0-0
Round 3,79,"ホリエ トオル He/Him
taiyu kato","Jeskai Control
Golgari Aggro",ホリエ トオル won 2-0-0
Round 3,80,"Hideaki Teruya
TakuroIto","Izzet Tempo
Selesnya Landfall",TakuroIto won 2-0-0
Round 3,81,"Kazuhito Nobuta
Kouta Mochizuki He/Him","Selesnya Landfall
Temur Prowess",Kouta Mochizuki won 2-0-0
Round 3,82,"Koichi Kudo
Kazuya Kiyofuji","Selesnya Ouroboroid
Selesnya Landfall",Koichi Kudo won 2-1-0
Round 3,83,"Tomoya Tanaka
RYUJI INOUE","Izzet Prowess
Izzet Aggro",RYUJI INOUE won 2-1-0
Round 3,84,"Shingo Takada He/Him
Mikita Hisano","Izzet Elementals
Boros",Mikita Hisano won 2-0-0
Round 3,85,"Masashiro Kuroda He/Him
Kazune Kosaka He/Him","Izzet Spellementals
Temur Prowess",Masashiro Kuroda won 2-1-0
Round 3,86,"Ryo Inazawa He/Him
XU BAOZHONG","Selesnya Landfall
Jeskai Aggro",XU BAOZHONG won 2-1-0
Round 3,87,"EIJI SOGO
SHOGO KONDO","Mono-Green Landfall
Izzet Prowess",EIJI SOGO won 2-1-0
Round 3,88,"Yuta Inukai He/Him
kouichi ishiwata","Selesnya Landfall
Bant Rhythm",kouichi ishiwata won 2-1-0
Round 3,89,"Miyanishi Makoto He/Him
Yoshiyuki Ogyu","Izzet Prowess
Dimir Excruciator",Miyanishi Makoto won 2-0-0
Round 3,90,"Dod2gaia He/Him
Kosuke Shibazaki","Jeskai Control
Izzet Aggro",Dod2gaia won 2-0-0
Round 3,91,"Satoshi Ishiguro Other
Keisuke Sato","Temur Aggro
Temur Prowess",Keisuke Sato won 2-0-0
Round 3,92,"Masahito Masuda
Naoki Higashida","Temur Prowess
Izzet Prowess",Masahito Masuda won 2-0-0
Round 3,93,"Nixed
JunSatoX1","W-U-B-R Control
Boros Tokens",JunSatoX1 won 2-0-0
Round 3,94,"SHINICHI NAGAI
Kenta Harane He/Him","Izzet Lessons
Izzet Otters",SHINICHI NAGAI won 2-0-0
Round 3,95,"IchiwakiFumihiro
maegawa","Jeskai Control
Selesnya Aggro",IchiwakiFumihiro won 2-1-0
Round 3,96,"sho kamezaki
grodri1999","Mono-Green Landfall
Bant Rhythm",grodri1999 won 2-1-0
Round 3,97,"HARUKA KAWANOBE
ryota takeuchi","Izzet Midrange
Boros Aggro",ryota takeuchi won 2-1-0
Round 3,98,"Kazuki Kawata He/Him
toru kono","Jeskai Control
Izzet Spellementals",Kazuki Kawata won 2-1-0
Round 3,99,"Mikita Hirano He/Him
Shinya Saito He/Him","Izzet Spellementals
Temur Prowess",Shinya Saito won 2-0-0
Round 3,100,"Yuya Mizuno He/Him
Atsushi Nakashima","Selesnya Landfall
Jeskai Control",Yuya Mizuno won 2-1-0
Round 3,101,"Takehito Kawakami
HUNG KAIYANG","Jeskai Control
Boros Aggro",Takehito Kawakami won 2-0-0
Round 3,102,"HYUNDEOK JANG He/Him
Taichi Akiyama","Boros Dragons
Azorius Tempo",HYUNDEOK JANG won 2-1-0
Round 3,103,"Kaoru Yoshizawa
YUJI KAWABATA He/Him","Izzet Prowess
Izzet Spellementals",YUJI KAWABATA won 2-0-0
Round 3,104,"Kyohei Murayama He/Him
Yohei Nomiya He/Him","Sultai Control
Izzet Spellementals",Yohei Nomiya won 2-1-0
Round 3,105,"GonTV He/Him
TAKUYA HASEGAWA","Dimir Excruciator
Selesnya Landfall",TAKUYA HASEGAWA won 2-1-0
Round 3,106,"trexdog001
RuiyuanLu","Izzet Control
Dimir Midrange",RuiyuanLu won 2-1-0
Round 3,107,"Takumi Onodera
Haruka Murano He/They","Temur Prowess
Dimir Excruciator",Haruka Murano won 2-1-0
Round 3,108,"Yutaro Tokuyama
Shintaro Kurata","Orzhov Aggro
Izzet Aggro",Shintaro Kurata won 2-1-0
Round 3,109,"Daichi Takemura Other
NOBUAKI JINBA Other","Selesnya Ouroboroid
Temur Omniscience",NOBUAKI JINBA won 2-1-0
Round 3,110,"Riku Kumagai
HataRyushi","Izzet Spellementals
Temur Aggro",Riku Kumagai won 2-0-0
Round 3,111,"Shunichi Nakajima
yusuke matsubara","Izzet Prowess
Izzet Lessons",Shunichi Nakajima won 2-0-0
Round 3,112,"Akinori Hishida
yohei hoshino","Selesnya
Temur Prowess",Akinori Hishida won 2-1-0
Round 3,113,"satoshi hashimoto He/Him
naoki kamizono","Bant Midrange
Temur Prowess",naoki kamizono won 2-1-0
Round 3,114,"TomohiroSakai He/Him
Toshiki Okai","Izzet Prowess
Izzet Prowess",Toshiki Okai won 2-0-0
Round 3,115,"Masayasu
tsuyoshinakamura","Izzet Elementals
Abzan Midrange",Masayasu won 2-1-0
Round 3,116,"Minoru Sato
Takamichi Asai","Sultai Combo
Temur Prowess",Takamichi Asai won 2-1-0
Round 3,117,"Masaki Oi
Kiho Choi He/Him","Izzet Prowess
Izzet Prowess",Masaki Oi won 2-1-0
Round 3,118,"ryo kasuga
syuhei nakayama","Selesnya Landfall
Izzet Prowess",syuhei nakayama won 2-1-0
Round 3,119,"ryuichiro ishida He/Him
Yosuke Oka He/Him","Selesnya Rhythm
Izzet Prowess",ryuichiro ishida won 2-1-0
Round 3,120,"SAYAMA TATSUNOSUKE
Andreas Holmqvist","Dimir Control
Selesnya Landfall",SAYAMA TATSUNOSUKE won 2-0-0
Round 3,121,"genki ogino
Akira Tanaka He/Him","Izzet Aggro
Izzet Lessons",genki ogino won 2-1-0
Round 3,122,"Takaya Saito
John Im He/Him","Azorius Control
Izzet",John Im won 2-0-0
Round 3,123,"Keisuke Ebitani
takuya yamada He/Him","Selesnya Ouroboroid
W-U-B-R Control",takuya yamada won 2-0-0
Round 3,124,"TATSURO ASANO
Yusuke Takaoka He/Him","Izzet Prowess
Izzet Aggro",Yusuke Takaoka won 2-1-0
Round 3,125,"Kim Hoyeon He/Him
MAIMScrubs","Golgari Midrange
Selesnya Landfall",MAIMScrubs won 2-0-0
Round 3,126,"Kouhei Komiyama He/Him
Marei Okamura","Azorius Flash
Sultai Control",Marei Okamura won 2-1-0
Round 3,127,"Shota Takao
Kenichirise","Selesnya Landfall
Izzet Bounce",Shota Takao won 2-0-0
Round 3,128,"Taiki Kageyama
KatsumataTomoaki","Temur Prowess
Temur Prowess",KatsumataTomoaki won 2-0-0
Round 3,129,"Sho Miyasaka
TOYOSHIMAYUMA He/Him","Izzet Prowess
Jeskai Artifacts",Sho Miyasaka won 2-0-0
Round 3,130,"Takumi Utsunomiya He/Him
Reona Shiga","Izzet Spellementals
Temur Aggro",Takumi Utsunomiya won 2-0-0
Round 3,131,"Masaru Abe He/Him
Ryota Motegi","Dimir Excruciator
Mardu",Ryota Motegi won 2-0-0
Round 3,132,"Shunsuke Kimura He/Him
彰信 梶谷","Sultai Control
Selesnya Landfall",Shunsuke Kimura won 2-1-0
Round 3,133,"Yusuke Sasao He/Him
Yuki Wada","Izzet Elementals
Mono-Red Aggro",Yuki Wada won 2-0-0
Round 3,134,"Shicheng Peng
junsei yamaguchi He/Him","Jeskai Control
Jeskai Control",junsei yamaguchi won 2-1-0
Round 3,135,"natsuki kitada
Shigeki Kimura","Sultai Control
Temur Aggro",natsuki kitada won 2-1-0
Round 3,136,"Taishi_Tokairin
Yuya Minezaki","Selesnya Landfall
Temur Prowess",Taishi_Tokairin won 2-0-0
Round 3,137,"Ohashi Toshiyuki
sawada jun He/Him","Azorius Aggro
Jeskai Control",sawada jun won 2-0-0
Round 3,138,"cckew He/Him
toya","Izzet Spellementals
W-U-B-R Control",cckew won 2-0-0
Round 3,139,"yasuhiro yazu
Takuya Yoshimura He/Him","Selesnya Ouroboroid
Izzet Control",yasuhiro yazu won 2-1-0
Round 3,140,"Kazuhiro Nakamura
Seita Oono","Izzet Lessons
Selesnya Rhythm",Seita Oono won 2-0-0
Round 3,141,"Keisuke Kirito
Hiroto Ogata","Izzet Tempo
Izzet Control",Keisuke Kirito won 2-0-0
Round 3,142,"bbtaka
Yotaki","Selesnya Aggro
Jeskai Elementals",Yotaki won 2-1-0
Round 3,143,"MASATO YAMADE
YUKI OTA He/Him","Izzet Spellementals
Izzet Control",YUKI OTA won 2-1-0
Round 3,144,"Jun Takeuchi He/Him
Katsuki Fukumoto He/Him","Izzet Elementals
Selesnya Landfall",Katsuki Fukumoto won 2-1-0
Round 3,145,"Hiroaki Itou
yoshio miyake","Sultai Control
Selesnya Landfall",yoshio miyake won 2-1-0
Round 3,146,"yasunori yajima He/Him
TASE YUYA Other","Izzet Midrange
Azorius Aggro",TASE YUYA won 2-0-0
Round 3,147,"tomoya fujimoto He/Him
koki hara He/Him","Selesnya Landfall
Bant Rhythm",koki hara won 2-0-0
Round 3,148,"Syunsuke Nakazima
Takurou Yamaguchi Other","Jeskai Control
Sultai Control",Syunsuke Nakazima won 2-0-0
Round 3,149,"Yukinori Ishibashi
MAEDA YOSHITAKA He/Him","Selesnya Landfall
Izzet Prowess",Yukinori Ishibashi won 2-0-0
Round 3,150,"Ryouji Hirokawa
taegyun lim","Dimir Demons
Grixis Midrange",Ryouji Hirokawa won 2-0-0
Round 3,151,"yamamotoatsushi
TOMOKI EGEYAMA He/Him","Mono-Green Landfall
Izzet Prowess",TOMOKI EGEYAMA won 2-0-0
Round 3,152,"Takashi Tsunomori He/Him
Koki Nakamura","Golgari Midrange
Selesnya Landfall",Koki Nakamura won 2-0-0
Round 3,153,"Koala40
TatsumasaTAKANO","Dimir Demons
Jeskai Midrange",Koala40 won 2-0-0
Round 3,154,"Takuto Furukawa
Takatomo Tezuka","Azorius Flash
Izzet Prowess",Takatomo Tezuka won 2-1-0
Round 3,155,"Alexander von Stange
SHUNICHI NAKASHIMA","Izzet Prowess
Selesnya Ouroboroid",Alexander von Stange won 2-1-0
Round 3,156,"Ryouta Mishina
RYOUTA SHIMIZU","Temur Prowess
Izzet Spellementals",RYOUTA SHIMIZU won 2-0-0
Round 3,157,"Yunan Deng He/Him
takayuki denishi Other","Jeskai Artifacts
Selesnya Landfall",Yunan Deng won 2-0-0
Round 3,158,"YOICHI NAGAMI
Naoyuki Hashimoto He/Him","Abzan Control
Dimir Excruciator",YOICHI NAGAMI won 3-0-0
Round 3,159,"Takeshi Ozawa He/Him
Ryohei Takezawa He/Him","Bant Rhythm
Izzet Aggro",Takeshi Ozawa won 2-1-0
Round 3,160,"showatanabe
takayukikumakura","Bant Combo
Dimir Demons",takayukikumakura won 2-1-0
Round 3,161,"DaichiKo
itomasayoshi He/Him","Izzet Prowess
Temur Aggro",itomasayoshi won 2-1-0
Round 3,162,"Kazushige Shimamura He/Him
Charles Namchaisiri","Selesnya Landfall
Izzet Spellementals",Charles Namchaisiri won 2-0-0
Round 3,163,"shintarou yoshida He/Him
KENTA KATAGIRI","Jeskai Control
Selesnya Rhythm",shintarou yoshida won 2-0-0
Round 3,164,"hirohata
Takahiro Shiraki Other","Golgari Midrange
Simic Aggro",Takahiro Shiraki won 2-1-0
Round 3,165,"Ryuichi Okayasu
Yusuke Ohkawa","Izzet Prowess
Izzet Lessons",Yusuke Ohkawa won 2-1-0
Round 3,166,"Akira Yamawaki
JUNYA YOSHIKAWA","Azorius Tempo
Temur Prowess",Akira Yamawaki won 2-1-0
Round 3,167,"aqua haruka#50863 He/Him
Horiuchi Makoto","Temur Prowess
Temur Prowess",aqua haruka#50863 won 2-1-0
Round 3,168,"Ryosuke Okada He/Him
Joel Hjortness","Izzet Aggro
W-U-B-R Control",Ryosuke Okada won 2-1-0
Round 3,169,"satoshi kuroiwa
Ryosuke Nishiura He/Him","Temur Prowess
Selesnya Landfall",satoshi kuroiwa won 2-1-0
Round 3,170,"Chikara Nakajima
Ryo Ito","Mono-Green Landfall
Jeskai Control",Chikara Nakajima won 2-0-0
Round 3,171,"john_1_10_taka
yuki yamazaki","Izzet Prowess
Boros Aggro",yuki yamazaki won 2-1-0
Round 3,172,"Takumi Matsuura
tatsuya kadowaki He/Him","Izzet Prowess
Izzet Spellementals",Takumi Matsuura won 2-1-0
Round 3,173,"takanori watanabe He/Him
空 大黒","Selesnya Aggro
Sultai Control",takanori watanabe won 2-1-0
Round 3,174,"shun asano He/Him
Yoshihiro Oohashi He/Him","Sultai Control
Jeskai Control",shun asano won 2-1-0
Round 3,175,"Akinori Fujikura He/Him
Onoda Kenji He/Him","Izzet Prowess
Izzet Lessons",Akinori Fujikura won 2-1-0
Round 4,-,Kazuhiro Nakamura,Izzet Lessons,Kazuhiro Nakamura was assigned a bye
Round 4,1,"Ma Noah
Yuusuke Ooyama","Selesnya Ouroboroid
Izzet Elementals",Ma Noah won 2-0-0
Round 4,2,"akira ishikawa
Hirotaka Kawasaki","Selesnya Landfall
Selesnya Ouroboroid",akira ishikawa won 2-0-0
Round 4,3,"whiteLeghorn He/Him
Yuya Hosokawa He/Him","Temur Tempo
Jeskai Control",Yuya Hosokawa won 2-1-0
Round 4,4,"KazukiYada
Hiroaki Kitahara","Temur Prowess
Sultai Control",Hiroaki Kitahara won 2-0-0
Round 4,5,"Kenji Sego
Shota Miyashita","Izzet Spellementals
Izzet Lessons",Kenji Sego won 2-1-0
Round 4,6,"Yosuke Kasagawa
Go Nakamura He/Him","Mono-Green Aggro
Sultai Control",Go Nakamura won 2-1-0
Round 4,7,"Rei Hirayama
RyosukeHayashi","Izzet Spellementals
Temur Midrange",Rei Hirayama won 2-0-0
Round 4,8,"Yuta Akamine They/Them
Jeongwoo Cho He/Him","Izzet Spellementals
Izzet Prowess",Yuta Akamine won 2-0-0
Round 4,9,"ReiSakano Other
Toshiya Kanegawa","Jeskai Control
Selesnya Aggro",ReiSakano won 2-1-0
Round 4,10,"Keita Ito
Yu Tanaka","Izzet Prowess
Golgari Control",Keita Ito won 2-1-0
Round 4,11,"Takahiro Obara
Shinnosuke Hando","Izzet Prowess
Selesnya",Shinnosuke Hando won 2-0-0
Round 4,12,"Masataka Hori
Taisei Nakayama He/Him","Selesnya Ouroboroid
Izzet Prowess",Masataka Hori won 2-0-0
Round 4,13,"Tomonori Hirami
shohei kiyota","Azorius Flash
Izzet Prowess",Tomonori Hirami won 2-0-0
Round 4,14,"Yoshihiko Ikawa He/Him
MASAHIDE MORIYAMA","Izzet Spellementals
Izzet Spellementals",Yoshihiko Ikawa won 2-0-0
Round 4,15,"Gaku Oohashi
Keisuke Komatsu","Selesnya Landfall
Izzet Spellementals",Keisuke Komatsu won 2-0-0
Round 4,16,"shinichiro watanabe
Hiroki Yamagata","Temur Prowess
Izzet Prowess",Hiroki Yamagata won 2-1-0
Round 4,17,"kento shiraki He/Him
Leo Isogaya","Selesnya Landfall
Izzet Lessons",kento shiraki won 2-0-0
Round 4,18,"Masakuni Hamaguchi
YutaYamada","Selesnya Landfall
Izzet Prowess",Masakuni Hamaguchi won 2-0-0
Round 4,19,"Hiroaki Taniguchi He/Him
yuuji yoshida","Golgari Midrange
Temur Aggro",Hiroaki Taniguchi won 2-0-0
Round 4,20,"Kenichiro Omori He/Him
Keisuke Naitou","Izzet Spellementals
Temur Prowess",Kenichiro Omori won 2-0-0
Round 4,21,"syaka3845
baronlee","Temur Prowess
Temur",baronlee won 2-1-0
Round 4,22,"HarryJPN He/Him
junpei nakamura","Selesnya Landfall
Golgari Midrange",HarryJPN won 2-1-0
Round 4,23,"Hideki Yoshioka He/Him
Haruka Ookura","Azorius Flash
Selesnya Landfall",Haruka Ookura won 2-1-0
Round 4,24,"LiDuoyan
藤垣 琢矢 He/Him","Azorius Blink
Mono-Green Aggro",LiDuoyan won 2-1-0
Round 4,25,"Yuichiro Maruyama
Taro Takahashi","Izzet Spellementals
Sultai Control",Yuichiro Maruyama won 2-1-0
Round 4,26,"JunSatoX1
Keiichiro Matsumoto","Boros Tokens
W-U-B-R Control",Keiichiro Matsumoto won 2-1-0
Round 4,27,"Pol Uros
HIDEYUKI ICHIKAWA","Izzet Spellementals
Izzet Prowess",1-1-1 Draw
Round 4,28,"MAIMScrubs
KatsumataTomoaki","Selesnya Landfall
Temur Prowess",KatsumataTomoaki won 2-0-0
Round 4,29,"TakahashiRyoma
emotosatoshi","Golgari Demons
Temur Prowess",TakahashiRyoma won 2-1-0
Round 4,30,"IchiwakiFumihiro
Masaki Oi","Jeskai Control
Izzet Prowess",IchiwakiFumihiro won 2-1-0
Round 4,31,"Jun Furukawa
Shinya Saito He/Him","Izzet Aggro
Temur Prowess",Shinya Saito won 2-1-0
Round 4,32,"Sho Yoshimori He/Him
Masashiro Kuroda He/Him","Selesnya Landfall
Izzet Spellementals",Masashiro Kuroda won 2-1-0
Round 4,33,"Riku Kumagai
Tomoya Kobayashi","Izzet Spellementals
Izzet Control",Tomoya Kobayashi won 2-1-0
Round 4,34,"Sangjoon Kong He/Him
Masayasu","Grixis Midrange
Izzet Elementals",Sangjoon Kong won 2-1-0
Round 4,35,"XU BAOZHONG
Sho Miyasaka","Jeskai Aggro
Izzet Prowess",Sho Miyasaka won 2-1-0
Round 4,36,"Satoshi Mizu
Kazuki Kawata He/Him","Izzet Elementals
Jeskai Control",Satoshi Mizu won 2-0-0
Round 4,37,"gohki yokomizo She/Her
Kenta Imai He/Him","Dimir Deceit
Izzet Prowess",Kenta Imai won 2-0-0
Round 4,38,"ホリエ トオル He/Him
Tetsu Kawaguchi","Jeskai Control
W-U-B-R Control",ホリエ トオル won 2-1-0
Round 4,39,"ryuichiro ishida He/Him
Ryuji Murae","Selesnya Rhythm
Izzet Aggro",ryuichiro ishida won 2-1-0
Round 4,40,"takuya yamada He/Him
Takuya Aoki","W-U-B-R Control
Izzet",Takuya Aoki won 2-1-0
Round 4,41,"Masahiko Noguchi
Koichi Kudo","Selesnya Landfall
Selesnya Ouroboroid",Masahiko Noguchi won 2-1-0
Round 4,42,"LaturaPK
ryota takeuchi","Izzet
Boros Aggro",LaturaPK won 2-1-0
Round 4,43,"MASAAKI SAKAMOTO
SAYAMA TATSUNOSUKE","Selesnya Midrange
Dimir Control",SAYAMA TATSUNOSUKE won 2-0-0
Round 4,44,"Yuya Mizuno He/Him
genki ogino","Selesnya Landfall
Izzet Aggro",genki ogino won 2-1-0
Round 4,45,"IngyunAhn He/Him
Kenya Ishikawa He/Him","Izzet Prowess
Izzet Spellementals",Kenya Ishikawa won 2-1-0
Round 4,46,"Tatsuumi KOBAYASHI
Shintaro Kurata","Izzet Spellementals
Izzet Aggro",Shintaro Kurata won 2-0-0
Round 4,47,"Manato Hosomi He/Him
Masanari Fukasawa He/Him","Izzet Aggro
Selesnya Landfall",Masanari Fukasawa won 2-1-0
Round 4,48,"Yutaro Morimoto He/Him
YUJI KAWABATA He/Him","Selesnya Ouroboroid
Izzet Spellementals",YUJI KAWABATA won 2-0-0
Round 4,49,"Takumi Utsunomiya He/Him
Masaki Ooura","Izzet Spellementals
Izzet Prowess",Takumi Utsunomiya won 2-0-0
Round 4,50,"rintaro honda
Yoshitaka Fujino","Temur Aggro
Selesnya Aggro",Yoshitaka Fujino won 2-0-0
Round 4,51,"syuhei nakayama
YUSUKE NAKAMURA","Izzet Prowess
Izzet Prowess",YUSUKE NAKAMURA won 2-0-0
Round 4,52,"HYUNDEOK JANG He/Him
Takamichi Asai","Boros Dragons
Temur Prowess",Takamichi Asai won 2-1-0
Round 4,53,"HIDENARI IKEDA He/Him
kouichi ishiwata","Selesnya Landfall
Bant Rhythm",kouichi ishiwata won 2-0-0
Round 4,54,"Dod2gaia He/Him
Takashi Inui","Jeskai Control
Izzet Spellementals",Dod2gaia won 2-0-0
Round 4,55,"Kazuhiro Noine
Shogo Kajita","Selesnya Landfall
U-B-R-G Reanimator",Kazuhiro Noine won 2-0-0
Round 4,56,"Mikita Hisano
Yosuke Shimizu He/Him","Boros
Dimir Deceit",Yosuke Shimizu won 2-0-0
Round 4,57,"HAYATO IGURA
takuya taniguchi","Selesnya Landfall
Selesnya Landfall",takuya taniguchi won 2-0-0
Round 4,58,"KOUSUKE CHINEN
EIJI SOGO","Izzet Spellementals
Mono-Green Landfall",KOUSUKE CHINEN won 2-0-0
Round 4,59,"MASAO ODA He/Him
Yohei Nomiya He/Him","Mono-Green Landfall
Izzet Spellementals",MASAO ODA won 2-1-0
Round 4,60,"John Im He/Him
TAKUYA HASEGAWA","Izzet
Selesnya Landfall",TAKUYA HASEGAWA won 2-0-0
Round 4,61,"RuiyuanLu
Yusuke Takaoka He/Him","Dimir Midrange
Izzet Aggro",Yusuke Takaoka won 2-0-0
Round 4,62,"takahiro yamaguchi
Haruka Murano He/They","Izzet Lessons
Dimir Excruciator",Haruka Murano won 2-1-0
Round 4,63,"Miyanishi Makoto He/Him
grodri1999","Izzet Prowess
Bant Rhythm",grodri1999 won 2-0-0
Round 4,64,"Marei Okamura
taiyo ishii He/Him","Sultai Control
Izzet",taiyo ishii won 2-1-0
Round 4,65,"Hiroki Kageyama
naoto yamane","Izzet Otters
Selesnya Ouroboroid",Hiroki Kageyama won 2-1-0
Round 4,66,"Shunsuke Nose He/Him
akira uemura He/Him","Izzet Monument
Selesnya Landfall",akira uemura won 2-1-0
Round 4,67,"Takato Ueno
SHINICHI NAGAI","Temur Prowess
Izzet Lessons",Takato Ueno won 2-1-0
Round 4,68,"hirofumi nakamatsu
Shimpo Kosuke","Temur Aggro
Izzet Prowess",hirofumi nakamatsu won 2-0-0
Round 4,69,"Takaaki Okumura He/Him
junichi takayama He/Him","Izzet Prowess
Izzet Spellementals",Takaaki Okumura won 2-1-0
Round 4,70,"Tomoki Usui He/Him
yasutaka Nagao","Golgari Midrange
W-U-B-R Control",yasutaka Nagao won 2-0-0
Round 4,71,"nakatatsuyoshi
Hasedaigo","Izzet Prowess
Izzet Aggro",nakatatsuyoshi won 2-1-0
Round 4,72,"Tetsuji Yamamoto
Hosokawa Kouta He/Him","Golgari Midrange
Bant Rhythm",Hosokawa Kouta won 2-1-0
Round 4,73,"Keita Tonouchi He/Him
naoki kamizono","Selesnya Landfall
Temur Prowess",Keita Tonouchi won 2-0-0
Round 4,74,"fukutome masayuki He/Him
ryuji mimido","Sultai Control
Dimir Demons",fukutome masayuki won 2-1-0
Round 4,75,"Masaaki Hitomi He/Him
Shota Takao","Selesnya Aggro
Selesnya Landfall",Masaaki Hitomi won 2-1-0
Round 4,76,"Toshiki Okai
Masayoshi Yoshida","Izzet Prowess
Selesnya Landfall",Toshiki Okai won 2-0-0
Round 4,77,"YsoHq They/Them
Akinori Hishida","Izzet Prowess
Selesnya",YsoHq won 2-1-0
Round 4,78,"Kazuaki WATANABE They/Them
yoshiki yamashita He/Him","Selesnya Landfall
Izzet Spellementals",yoshiki yamashita won 2-0-0
Round 4,79,"Tomohiro Matsumoto He/Him
Masahito Masuda","Izzet Spellementals
Temur Prowess",Tomohiro Matsumoto won 2-0-0
Round 4,80,"Ryota Ishikawa
Ryota Motegi","Selesnya Landfall
Mardu",Ryota Ishikawa won 2-1-0
Round 4,81,"TakuroIto
RIKI KAMO He/Him","Selesnya Landfall
Mono-Green Landfall",RIKI KAMO won 2-1-0
Round 4,82,"Yosuke Hieda He/They
Takeshi Miyawaki He/Him","W-U-B-R Control
Dimir Excruciator",Takeshi Miyawaki won 2-1-0
Round 4,83,"sintarou yamada
suganumakatuhiro","Izzet Prowess
Grixis Reanimator",sintarou yamada won 2-1-0
Round 4,84,"Shunichi Nakajima
RYUJI INOUE","Izzet Prowess
Izzet Aggro",RYUJI INOUE won 2-1-0
Round 4,85,"Kouta Mochizuki He/Him
NOBUAKI JINBA Other","Temur Prowess
Temur Omniscience",Kouta Mochizuki won 2-1-0
Round 4,86,"Keisuke Sato
Tamon","Temur Prowess
Dimir Excruciator",Keisuke Sato won 2-1-0
Round 4,87,"naoya okamura He/Him
Takehito Kawakami","Izzet Elementals
Jeskai Control",naoya okamura won 2-0-0
Round 4,88,"Shunsuke Kimura He/Him
Yuuhei Komatsu","Sultai Control
Selesnya Landfall",Shunsuke Kimura won 2-1-0
Round 4,89,"Atsushi Hasegawa He/Him
koki hara He/Him","Mono-White Aggro
Bant Rhythm",Atsushi Hasegawa won 2-1-0
Round 4,90,"Takatomo Tezuka
Shingo Takada He/Him","Izzet Prowess
Izzet Elementals",Shingo Takada won 2-0-0
Round 4,91,"Eisuke Oono He/Him
Atsuki Kihara He/Him","Selesnya Landfall
Sultai Control",Eisuke Oono won 2-1-0
Round 4,92,"Kosuke Shibazaki
Syunsuke Nakazima","Izzet Aggro
Jeskai Control",Syunsuke Nakazima won 2-0-0
Round 4,93,"MiyazakiTakato
Keisuke Kirito","Jeskai Control
Izzet Tempo",Keisuke Kirito won 2-0-0
Round 4,94,"Tomoaki Ogasawara
Akira Yamawaki","Selesnya Ouroboroid
Azorius Tempo",Tomoaki Ogasawara won 2-0-0
Round 4,95,"Yunan Deng He/Him
Yukinori Ishibashi","Jeskai Artifacts
Selesnya Landfall",Yukinori Ishibashi won 2-1-0
Round 4,96,"mcgottsu
yohei hoshino","Mardu Aggro
Temur Prowess",yohei hoshino won 2-1-0
Round 4,97,"Naoki Higashida
junsei yamaguchi He/Him","Izzet Prowess
Jeskai Control",junsei yamaguchi won 2-1-0
Round 4,98,"TOMOKI EGEYAMA He/Him
HataRyushi","Izzet Prowess
Temur Aggro",HataRyushi won 2-1-0
Round 4,99,"Kouhei Komiyama He/Him
Nixed","Azorius Flash
W-U-B-R Control",Nixed won 2-1-0
Round 4,100,"Alexander von Stange
cckew He/Him","Izzet Prowess
Izzet Spellementals",cckew won 2-0-0
Round 4,101,"RYOUTA SHIMIZU
Yuki Wada","Izzet Spellementals
Mono-Red Aggro",Yuki Wada won 2-0-0
Round 4,102,"GonTV He/Him
Toyoharu Mizuno He/Him","Dimir Excruciator
Selesnya Landfall",Toyoharu Mizuno won 2-0-0
Round 4,103,"toru kono
Katsuki Fukumoto He/Him","Izzet Spellementals
Selesnya Landfall",toru kono won 2-0-0
Round 4,104,"Reona Shiga
takayukikumakura","Temur Aggro
Dimir Demons",takayukikumakura won 2-1-0
Round 4,105,"TaeHyoungKim He/Him
aqua haruka#50863 He/Him","Selesnya Aggro
Temur Prowess",aqua haruka#50863 won 2-0-0
Round 4,106,"Hiroki Toyota
yoshio miyake","Mono-Green Landfall
Selesnya Landfall",Hiroki Toyota won 2-1-0
Round 4,107,"Koki Nakamura
satoshi kuroiwa","Selesnya Landfall
Temur Prowess",Koki Nakamura won 2-1-0
Round 4,108,"Chikara Nakajima
Toru Yanagisaka","Mono-Green Landfall
Dimir Combo",Toru Yanagisaka won 2-1-0
Round 4,109,"DBAngel
tsuyoshinakamura","Temur Omniscience
Abzan Midrange",DBAngel won 2-1-0
Round 4,110,"Satoshi Kuraoka
Yotaki","Izzet Spellementals
Jeskai Elementals",Yotaki won 2-0-0
Round 4,111,"Seita Oono
Koala40","Selesnya Rhythm
Dimir Demons",Koala40 won 2-1-0
Round 4,112,"Yuichiro Sasa
sho kamezaki","Boros Aggro
Mono-Green Landfall",sho kamezaki won 2-0-0
Round 4,113,"tanono
Kyle Hitachi He/Him","Mardu Monument
Sultai Control",tanono won 2-1-0
Round 4,114,"natsuki kitada
Yuuki Fujii","Sultai Control
Azorius Flash",Yuuki Fujii won 2-0-0
Round 4,115,"HARUKA KAWANOBE
KAZUYOSHI ANAN","Izzet Midrange
W-U-B-R Control",KAZUYOSHI ANAN won 2-1-0
Round 4,116,"Andreas Holmqvist
Charles Namchaisiri","Selesnya Landfall
Izzet Spellementals",Andreas Holmqvist won 2-1-0
Round 4,117,"Kazuki Murata
Takayuki Rita","Dimir Excruciator
Jeskai Control",Takayuki Rita won 2-1-0
